# Intensity Error [H,H,0] DeltaE [0,0,L] [-H,H,0]
#  shape: 80x50x1x1
6.481871e-05 8.150033e-06 -3.550000e+00 1.325000e+01 0.000000e+00 5.000000e+00
6.661581e-05 8.303482e-06 -3.550000e+00 1.375000e+01 0.000000e+00 5.000000e+00
6.967614e-05 8.575534e-06 -3.550000e+00 1.425000e+01 0.000000e+00 5.000000e+00
6.460160e-05 8.300729e-06 -3.550000e+00 1.475000e+01 0.000000e+00 5.000000e+00
5.423994e-05 7.750179e-06 -3.550000e+00 1.525000e+01 0.000000e+00 5.000000e+00
4.297523e-05 7.467648e-06 -3.550000e+00 1.575000e+01 0.000000e+00 5.000000e+00
4.105562e-05 7.357244e-06 -3.550000e+00 1.625000e+01 0.000000e+00 5.000000e+00
4.855137e-05 7.090404e-06 -3.550000e+00 1.675000e+01 0.000000e+00 5.000000e+00
5.842898e-05 6.941818e-06 -3.550000e+00 1.725000e+01 0.000000e+00 5.000000e+00
6.003145e-05 6.998687e-06 -3.550000e+00 1.775000e+01 0.000000e+00 5.000000e+00
5.064913e-05 6.894744e-06 -3.550000e+00 1.825000e+01 0.000000e+00 5.000000e+00
3.656249e-05 6.647690e-06 -3.550000e+00 1.875000e+01 0.000000e+00 5.000000e+00
2.934636e-05 6.396376e-06 -3.550000e+00 1.925000e+01 0.000000e+00 5.000000e+00
3.359661e-05 6.261262e-06 -3.550000e+00 1.975000e+01 0.000000e+00 5.000000e+00
4.006335e-05 6.346156e-06 -3.550000e+00 2.025000e+01 0.000000e+00 5.000000e+00
4.505595e-05 6.379918e-06 -3.550000e+00 2.075000e+01 0.000000e+00 5.000000e+00
4.285185e-05 6.358337e-06 -3.550000e+00 2.125000e+01 0.000000e+00 5.000000e+00
3.140802e-05 6.319315e-06 -3.550000e+00 2.175000e+01 0.000000e+00 5.000000e+00
1.660373e-05 6.088889e-06 -3.550000e+00 2.225000e+01 0.000000e+00 5.000000e+00
9.369092e-06 5.818931e-06 -3.550000e+00 2.275000e+01 0.000000e+00 5.000000e+00
1.388413e-05 5.717689e-06 -3.550000e+00 2.325000e+01 0.000000e+00 5.000000e+00
2.268793e-05 5.770917e-06 -3.550000e+00 2.375000e+01 0.000000e+00 5.000000e+00
2.663079e-05 6.458900e-06 -3.550000e+00 2.425000e+01 0.000000e+00 5.000000e+00
2.423093e-05 7.870810e-06 -3.550000e+00 2.475000e+01 0.000000e+00 5.000000e+00
1.897461e-03 4.803009e-05 -3.450001e+00 2.500000e-01 0.000000e+00 5.000000e+00
1.282109e-03 3.500009e-05 -3.450001e+00 7.500000e-01 0.000000e+00 5.000000e+00
6.754306e-04 2.334419e-05 -3.450001e+00 1.250000e+00 0.000000e+00 5.000000e+00
2.101818e-04 1.460498e-05 -3.450001e+00 1.750000e+00 0.000000e+00 5.000000e+00
4.866899e-05 9.365880e-06 -3.450001e+00 2.250000e+00 0.000000e+00 5.000000e+00
1.506845e-05 7.223267e-06 -3.450001e+00 2.750000e+00 0.000000e+00 5.000000e+00
3.775464e-07 6.734147e-06 -3.450001e+00 3.250000e+00 0.000000e+00 5.000000e+00
3.729764e-09 6.556234e-06 -3.450001e+00 3.750000e+00 0.000000e+00 5.000000e+00
3.730152e-06 6.263099e-06 -3.450001e+00 4.250000e+00 0.000000e+00 5.000000e+00
1.052517e-05 6.120791e-06 -3.450001e+00 4.750000e+00 0.000000e+00 5.000000e+00
1.964912e-05 6.159785e-06 -3.450001e+00 5.250000e+00 0.000000e+00 5.000000e+00
3.048547e-05 6.619223e-06 -3.450001e+00 5.750000e+00 0.000000e+00 5.000000e+00
3.413111e-05 6.779242e-06 -3.450001e+00 6.250000e+00 0.000000e+00 5.000000e+00
2.986295e-05 6.493461e-06 -3.450001e+00 6.750000e+00 0.000000e+00 5.000000e+00
2.014432e-05 6.229078e-06 -3.450001e+00 7.250000e+00 0.000000e+00 5.000000e+00
9.805894e-06 6.130108e-06 -3.450001e+00 7.750000e+00 0.000000e+00 5.000000e+00
1.924722e-06 6.085405e-06 -3.450001e+00 8.250000e+00 0.000000e+00 5.000000e+00
-3.662409e-06 6.089875e-06 -3.450001e+00 8.750000e+00 0.000000e+00 5.000000e+00
-1.385727e-06 6.083418e-06 -3.450001e+00 9.250000e+00 0.000000e+00 5.000000e+00
9.277792e-06 6.222923e-06 -3.450001e+00 9.750000e+00 0.000000e+00 5.000000e+00
1.878302e-05 6.699543e-06 -3.450001e+00 1.025000e+01 0.000000e+00 5.000000e+00
2.398686e-05 7.027336e-06 -3.450001e+00 1.075000e+01 0.000000e+00 5.000000e+00
2.934186e-05 7.427473e-06 -3.450001e+00 1.125000e+01 0.000000e+00 5.000000e+00
4.352111e-05 7.918130e-06 -3.450001e+00 1.175000e+01 0.000000e+00 5.000000e+00
6.012807e-05 8.347547e-06 -3.450001e+00 1.225000e+01 0.000000e+00 5.000000e+00
7.326266e-05 8.558281e-06 -3.450001e+00 1.275000e+01 0.000000e+00 5.000000e+00
7.583221e-05 8.589105e-06 -3.450001e+00 1.325000e+01 0.000000e+00 5.000000e+00
7.865348e-05 8.873663e-06 -3.450001e+00 1.375000e+01 0.000000e+00 5.000000e+00
7.604123e-05 8.970043e-06 -3.450001e+00 1.425000e+01 0.000000e+00 5.000000e+00
6.677460e-05 8.581479e-06 -3.450001e+00 1.475000e+01 0.000000e+00 5.000000e+00
