# Intensity Error [H,H,H] DeltaE [L,L,-2L] [-H,H,0]
#  shape: 40x50x1x1
5.875015e-05 1.288236e-05 2.450000e+00 4.250000e+00 0.000000e+00 6.000000e+00
4.350905e-05 1.190254e-05 2.450000e+00 4.750000e+00 0.000000e+00 6.000000e+00
3.333640e-05 1.101000e-05 2.450000e+00 5.250000e+00 0.000000e+00 6.000000e+00
2.722214e-05 1.049407e-05 2.450000e+00 5.750000e+00 0.000000e+00 6.000000e+00
2.520631e-05 1.061091e-05 2.450000e+00 6.250000e+00 0.000000e+00 6.000000e+00
2.708122e-05 1.047033e-05 2.450000e+00 6.750000e+00 0.000000e+00 6.000000e+00
3.205076e-05 1.023054e-05 2.450000e+00 7.250000e+00 0.000000e+00 6.000000e+00
3.474247e-05 1.034275e-05 2.450000e+00 7.750000e+00 0.000000e+00 6.000000e+00
4.369161e-05 1.064474e-05 2.450000e+00 8.250000e+00 0.000000e+00 6.000000e+00
5.347752e-05 1.107923e-05 2.450000e+00 8.750000e+00 0.000000e+00 6.000000e+00
6.134754e-05 1.175408e-05 2.450000e+00 9.250000e+00 0.000000e+00 6.000000e+00
6.655479e-05 1.157045e-05 2.450000e+00 9.750000e+00 0.000000e+00 6.000000e+00
6.996088e-05 1.148445e-05 2.450000e+00 1.025000e+01 0.000000e+00 6.000000e+00
6.789307e-05 1.192405e-05 2.450000e+00 1.075000e+01 0.000000e+00 6.000000e+00
6.194129e-05 1.196221e-05 2.450000e+00 1.125000e+01 0.000000e+00 6.000000e+00
6.066806e-05 1.186009e-05 2.450000e+00 1.175000e+01 0.000000e+00 6.000000e+00
6.631390e-05 1.205955e-05 2.450000e+00 1.225000e+01 0.000000e+00 6.000000e+00
7.048114e-05 1.249439e-05 2.450000e+00 1.275000e+01 0.000000e+00 6.000000e+00
6.107693e-05 1.267695e-05 2.450000e+00 1.325000e+01 0.000000e+00 6.000000e+00
5.654617e-05 1.259204e-05 2.450000e+00 1.375000e+01 0.000000e+00 6.000000e+00
6.234423e-05 1.255670e-05 2.450000e+00 1.425000e+01 0.000000e+00 6.000000e+00
7.352985e-05 1.267349e-05 2.450000e+00 1.475000e+01 0.000000e+00 6.000000e+00
7.641825e-05 1.303081e-05 2.450000e+00 1.525000e+01 0.000000e+00 6.000000e+00
8.363050e-05 1.365540e-05 2.450000e+00 1.575000e+01 0.000000e+00 6.000000e+00
9.342699e-05 1.435936e-05 2.450000e+00 1.625000e+01 0.000000e+00 6.000000e+00
9.167011e-05 1.470050e-05 2.450000e+00 1.675000e+01 0.000000e+00 6.000000e+00
7.153433e-05 1.418409e-05 2.450000e+00 1.725000e+01 0.000000e+00 6.000000e+00
5.294713e-05 1.346839e-05 2.450000e+00 1.775000e+01 0.000000e+00 6.000000e+00
5.306396e-05 1.316481e-05 2.450000e+00 1.825000e+01 0.000000e+00 6.000000e+00
6.311437e-05 1.299799e-05 2.450000e+00 1.875000e+01 0.000000e+00 6.000000e+00
6.766030e-05 1.274202e-05 2.450000e+00 1.925000e+01 0.000000e+00 6.000000e+00
6.193160e-05 1.248427e-05 2.450000e+00 1.975000e+01 0.000000e+00 6.000000e+00
5.856372e-05 1.260771e-05 2.450000e+00 2.025000e+01 0.000000e+00 6.000000e+00
5.610571e-05 1.282360e-05 2.450000e+00 2.075000e+01 0.000000e+00 6.000000e+00
5.847666e-05 1.267367e-05 2.450000e+00 2.125000e+01 0.000000e+00 6.000000e+00
6.071530e-05 1.242166e-05 2.450000e+00 2.175000e+01 0.000000e+00 6.000000e+00
5.954815e-05 1.241672e-05 2.450000e+00 2.225000e+01 0.000000e+00 6.000000e+00
4.911656e-05 1.195323e-05 2.450000e+00 2.275000e+01 0.000000e+00 6.000000e+00
2.962487e-05 1.105595e-05 2.450000e+00 2.325000e+01 0.000000e+00 6.000000e+00
1.333115e-05 1.009809e-05 2.450000e+00 2.375000e+01 0.000000e+00 6.000000e+00
5.951589e-06 9.972292e-06 2.450000e+00 2.425000e+01 0.000000e+00 6.000000e+00
5.811165e-06 1.130325e-05 2.450000e+00 2.475000e+01 0.000000e+00 6.000000e+00
4.737973e-03 1.289769e-04 2.549999e+00 2.500000e-01 0.000000e+00 6.000000e+00
3.379304e-03 9.184553e-05 2.549999e+00 7.500000e-01 0.000000e+00 6.000000e+00
1.820892e-03 5.561115e-05 2.549999e+00 1.250000e+00 0.000000e+00 6.000000e+00
5.133806e-04 2.846484e-05 2.549999e+00 1.750000e+00 0.000000e+00 6.000000e+00
9.247814e-05 1.645740e-05 2.549999e+00 2.250000e+00 0.000000e+00 6.000000e+00
5.799169e-05 1.390627e-05 2.549999e+00 2.750000e+00 0.000000e+00 6.000000e+00
5.920468e-05 1.312124e-05 2.549999e+00 3.250000e+00 0.000000e+00 6.000000e+00
5.491802e-05 1.214208e-05 2.549999e+00 3.750000e+00 0.000000e+00 6.000000e+00
4.318226e-05 1.093458e-05 2.549999e+00 4.250000e+00 0.000000e+00 6.000000e+00
2.918606e-05 1.042275e-05 2.549999e+00 4.750000e+00 0.000000e+00 6.000000e+00
