# Intensity Error [H,0,0] DeltaE [0,0,L] [0,K,0]
#  shape: 80x50x1x1
4.073065e-05 1.113131e-05 -3.550000e+00 2.325000e+01 8.000000e+00 0.000000e+00
3.000133e-05 1.038483e-05 -3.550000e+00 2.375000e+01 8.000000e+00 0.000000e+00
1.724696e-05 1.059528e-05 -3.550000e+00 2.425000e+01 8.000000e+00 0.000000e+00
1.169419e-05 1.126342e-05 -3.550000e+00 2.475000e+01 8.000000e+00 0.000000e+00
1.603808e-03 8.415904e-05 -3.450001e+00 2.500000e-01 8.000000e+00 0.000000e+00
1.124618e-03 6.180103e-05 -3.450001e+00 7.500000e-01 8.000000e+00 0.000000e+00
6.345183e-04 4.210179e-05 -3.450001e+00 1.250000e+00 8.000000e+00 0.000000e+00
2.276433e-04 2.641141e-05 -3.450001e+00 1.750000e+00 8.000000e+00 0.000000e+00
6.704000e-05 1.646569e-05 -3.450001e+00 2.250000e+00 8.000000e+00 0.000000e+00
3.280289e-05 1.261243e-05 -3.450001e+00 2.750000e+00 8.000000e+00 0.000000e+00
4.662954e-05 1.212374e-05 -3.450001e+00 3.250000e+00 8.000000e+00 0.000000e+00
6.679960e-05 1.223958e-05 -3.450001e+00 3.750000e+00 8.000000e+00 0.000000e+00
8.324363e-05 1.205542e-05 -3.450001e+00 4.250000e+00 8.000000e+00 0.000000e+00
9.681035e-05 1.238302e-05 -3.450001e+00 4.750000e+00 8.000000e+00 0.000000e+00
1.095913e-04 1.315805e-05 -3.450001e+00 5.250000e+00 8.000000e+00 0.000000e+00
1.098675e-04 1.331365e-05 -3.450001e+00 5.750000e+00 8.000000e+00 0.000000e+00
8.685240e-05 1.283495e-05 -3.450001e+00 6.250000e+00 8.000000e+00 0.000000e+00
5.618708e-05 1.212891e-05 -3.450001e+00 6.750000e+00 8.000000e+00 0.000000e+00
3.223859e-05 1.156071e-05 -3.450001e+00 7.250000e+00 8.000000e+00 0.000000e+00
2.976200e-05 1.157681e-05 -3.450001e+00 7.750000e+00 8.000000e+00 0.000000e+00
3.622003e-05 1.199904e-05 -3.450001e+00 8.250000e+00 8.000000e+00 0.000000e+00
4.200741e-05 1.221091e-05 -3.450001e+00 8.750000e+00 8.000000e+00 0.000000e+00
3.455761e-05 1.191378e-05 -3.450001e+00 9.250000e+00 8.000000e+00 0.000000e+00
2.053818e-05 1.134602e-05 -3.450001e+00 9.750000e+00 8.000000e+00 0.000000e+00
6.330080e-06 1.138324e-05 -3.450001e+00 1.025000e+01 8.000000e+00 0.000000e+00
1.653218e-05 1.332689e-05 -3.450001e+00 1.075000e+01 8.000000e+00 0.000000e+00
4.042992e-05 1.664070e-05 -3.450001e+00 1.125000e+01 8.000000e+00 0.000000e+00
6.253219e-05 1.762656e-05 -3.450001e+00 1.175000e+01 8.000000e+00 0.000000e+00
5.352051e-05 1.584413e-05 -3.450001e+00 1.225000e+01 8.000000e+00 0.000000e+00
3.422131e-05 1.292666e-05 -3.450001e+00 1.275000e+01 8.000000e+00 0.000000e+00
2.579694e-05 1.074559e-05 -3.450001e+00 1.325000e+01 8.000000e+00 0.000000e+00
3.112147e-05 1.032799e-05 -3.450001e+00 1.375000e+01 8.000000e+00 0.000000e+00
3.513603e-05 9.969588e-06 -3.450001e+00 1.425000e+01 8.000000e+00 0.000000e+00
3.553360e-05 9.372059e-06 -3.450001e+00 1.475000e+01 8.000000e+00 0.000000e+00
